Time (s), Voltage (V)
10.532665,-0.017107
10.542664,-0.017107
10.552668,-0.012219
10.562668,-0.012219
10.572672,-0.017107
10.582673,-0.012219
10.592673,-0.012219
10.602681,-0.012219
10.612689,-0.012219
10.622693,-0.017107
10.632693,-0.017107
10.642692,-0.017107
10.652696,-0.012219
10.662696,-0.021994
10.6727,-0.012219
10.682708,-0.012219
10.692712,-0.021994
10.702713,-0.012219
10.712717,-0.017107
10.722721,-0.021994
10.732725,-0.007331
10.742729,-0.017107
10.752729,-0.012219
10.762732,-0.017107
10.772732,-0.021994
10.782736,-0.012219
10.792737,-0.012219
10.802744,-0.012219
10.812752,-0.017107
10.822752,-0.017107
10.832753,-0.017107
10.842757,-0.012219
10.852761,-0.017107
10.862765,-0.017107
10.872769,-0.012219
10.882773,-0.017107
10.892776,-0.017107
10.902776,-0.012219
10.91278,-0.012219
10.92278,-0.012219
10.932781,-0.007331
10.942785,-0.012219
10.952784,-0.012219
10.962784,-0.007331
10.972788,-0.017107
10.982792,-0.012219
10.992796,-0.012219
11.0028,-0.007331
11.012801,-0.007331
11.022809,-0.021994
11.032809,-0.017107
11.042813,-0.007331
11.052817,-0.007331
11.062816,-0.007331
11.072816,-0.012219
11.08282,-0.012219
11.092824,-0.002444
11.102828,-0.017107
11.112829,-0.017107
11.122828,-0.012219
11.132828,-0.012219
11.142828,-0.007331
11.152829,-0.007331
11.162833,-0.012219
11.172841,-0.017107
11.182845,-0.007331
11.192849,-0.012219
11.202853,-0.012219
11.212857,-0.012219
11.222861,-0.017107
11.232869,-0.012219
11.242873,-0.012219
11.252881,-0.021994
11.262881,-0.017107
11.27288,-0.017107
11.28288,-0.012219
11.292884,-0.007331
11.302892,-0.017107
11.3129,-0.017107
11.322904,-0.012219
11.332904,-0.017107
11.342908,-0.007331
11.352912,-0.007331
11.362913,-0.021994
11.372917,-0.007331
11.382921,-0.012219
11.392925,-0.012219
11.402924,-0.012219
11.412924,-0.012219
11.422924,-0.012219
11.432929,-0.012219
11.442933,-0.007331
11.452937,-0.007331
11.462937,-0.012219
11.472941,-0.012219
11.48294,-0.007331
11.492944,-0.007331
11.502948,-0.017107
11.512956,-0.012219
11.522956,-0.007331
11.532957,-0.017107
11.542957,-0.012219
11.552956,-0.017107
11.56296,-0.021994
11.57296,-0.012219
11.582964,-0.021994
11.592965,-0.021994
11.602965,-0.017107
11.612964,-0.021994
11.622968,-0.021994
11.632968,-0.012219
11.642976,-0.017107
11.652984,-0.017107
11.662984,-0.021994
11.672985,-0.026882
11.682985,-0.017107
11.692989,-0.017107
11.702988,-0.021994
11.712992,-0.007331
11.722992,-0.021994
11.732996,-0.012219
11.743,-0.007331
11.753001,-0.017107
11.763005,-0.012219
11.773009,-0.012219
11.783008,-0.017107
11.793012,-0.012219
11.803016,-0.012219
11.81302,-0.017107
11.823024,-0.012219
11.833032,-0.007331
11.843032,-0.012219
11.853033,-0.012219
11.863033,-0.017107
11.873037,-0.012219
11.883041,-0.007331
11.893045,-0.012219
11.903044,-0.007331
11.913052,-0.007331
11.923061,-0.012219
11.93306,-0.007331
11.94306,-0.007331
11.953068,-0.017107
11.963076,0.002444
11.973085,-0.012219
11.983088,-0.012219
11.993092,-0.007331
12.003096,-0.012219
12.0131,-0.012219
12.023104,-0.002444
12.033104,-0.007331
12.043108,-0.007331
12.053109,-0.012219
12.063109,-0.012219
12.073108,-0.007331
12.083108,-0.007331
12.093109,-0.012219
12.103116,-0.007331
12.113117,-0.002444
12.123121,-0.012219
12.13312,0.002444
12.143124,-0.007331
12.153128,-0.012219
12.163132,-0.012219
12.173132,-0.007331
12.183136,-0.012219
12.193137,-0.002444
12.203137,-0.012219
12.213136,-0.012219
12.223136,-0.002444
12.233137,-0.007331
12.243141,0.007331
12.253145,-0.012219
12.263149,-0.017107
12.273153,-0.007331
12.283157,-0.007331
12.293161,-0.007331
12.30316,-0.002444
12.313164,-0.007331
12.323172,-0.007331
12.333181,-0.007331
12.343185,-0.012219
12.353188,-0.007331
12.363197,-0.007331
12.373201,-0.012219
12.3832,-0.007331
12.393204,-0.002444
12.403204,-0.012219
12.413212,-0.007331
12.423216,-0.007331
12.433217,-0.007331
12.443221,-0.007331
12.453221,-0.012219
12.463225,-0.012219
12.473229,-0.002444
12.483228,-0.007331
12.493232,-0.002444
12.503236,-0.007331
12.51324,-0.012219
12.523241,-0.007331
12.533241,-0.007331
12.54324,-0.012219
12.553244,-0.007331
12.563244,-0.007331
12.573245,-0.012219
12.583249,-0.007331
12.593249,-0.002444
12.603253,-0.012219
12.613257,-0.012219
12.623256,-0.012219
12.633264,-0.002444
12.643268,0.002444
12.653272,-0.012219
12.663276,-0.002444
12.673276,-0.002444
12.683277,-0.007331
12.693281,0.002444
12.703281,-0.012219
12.71328,-0.012219
