Time (s), Voltage (V)
6.801744,-0.129521
6.811748,-0.075758
6.821752,-0.080645
6.831756,-0.119746
6.84176,-0.153959
6.85176,-0.158847
6.86176,-0.100195
6.87176,-0.05132
6.881764,-0.007331
6.891764,-0.085533
6.901764,0.012219
6.911764,-0.075758
6.921764,0.017107
6.931764,-0.046432
6.941768,0.012219
6.951768,0.026882
6.961772,-0.075758
6.971772,-0.153959
6.981772,-0.207722
6.991776,-0.095308
7.00178,-0.202835
7.01178,-0.153959
7.02178,-0.139296
7.03178,-0.153959
7.04178,-0.21261
7.05178,-0.256598
7.06178,-0.075758
7.071784,-0.246823
7.081792,-0.173509
7.091796,-0.300586
7.1018,-0.109971
7.111804,-0.163734
7.121812,-0.188172
7.131816,-0.23216
7.14182,-0.261486
7.151828,-0.158847
7.161828,-0.149071
7.171832,-0.149071
7.18184,-0.197947
7.19184,-0.183285
7.201844,-0.153959
7.211848,-0.139296
7.221848,-0.207722
7.231852,-0.197947
7.241852,-0.119746
7.251852,-0.080645
7.261852,-0.07087
7.27186,-0.080645
7.281864,-0.134409
7.291864,-0.153959
7.301864,-0.080645
7.311864,-0.065982
7.321864,-0.114858
7.331868,-0.105083
7.341868,-0.134409
7.351868,-0.09042
7.361872,-0.109971
7.371872,-0.061095
7.381876,-0.129521
7.391884,-0.129521
7.401888,-0.163734
7.411888,-0.105083
7.421892,-0.144184
7.431892,-0.19306
7.441896,-0.144184
7.4519,-0.19306
7.4619,-0.124633
7.4719,-0.095308
7.4819,-0.149071
7.4919,-0.075758
7.501904,-0.153959
7.511904,-0.075758
7.521904,-0.114858
7.531904,-0.207722
7.541908,-0.173509
7.551908,-0.163734
7.561912,-0.119746
7.571912,-0.163734
7.581916,-0.320137
7.59192,-0.158847
7.60192,-0.315249
7.61192,-0.09042
7.62192,-0.158847
7.63192,-0.388563
7.641924,-0.183285
7.651928,-0.251711
7.661932,-0.158847
7.671932,-0.300586
7.681932,-0.364125
7.691932,-0.222385
7.701936,-0.329912
7.71194,-0.158847
7.721944,-0.300586
7.731948,-0.427664
7.741948,-0.271261
7.751948,-0.452102
7.761952,-0.256598
7.771956,-0.427664
7.78196,-0.471652
7.791964,-0.3348
7.801964,-0.51564
7.811964,-0.310362
7.821972,-0.422776
7.831972,-0.525415
7.841976,-0.349462
7.85198,-0.535191
7.86198,-0.261486
7.871984,-0.456989
7.881984,-0.61828
7.891984,-0.432551
7.901984,-0.691593
7.911984,-0.383676
7.921984,-0.613392
7.931988,-0.632942
7.941988,-0.432551
7.951988,-0.584066
7.961992,-0.237048
7.971996,-0.491202
7.982,-0.588954
7.992004,-0.344575
8.002009,-0.554741
8.012012,-0.207722
8.022016,-0.481427
8.032016,-0.569404
8.042016,-0.378788
8.052021,-0.588954
8.062021,-0.23216
8.072025,-0.491202
8.082033,-0.549853
8.092037,-0.300586
8.102045,-0.569404
8.112049,-0.241935
8.122056,-0.417889
8.132057,-0.520528
8.142065,-0.305474
8.152069,-0.535191
8.162069,-0.173509
8.172068,-0.393451
8.182072,-0.569404
8.192076,-0.281036
8.202084,-0.51564
8.212093,-0.109971
8.222097,-0.369013
8.2321,-0.505865
8.242104,-0.281036
8.252108,-0.510753
8.262112,-0.144184
8.272116,-0.364125
8.282116,-0.442327
8.292117,-0.251711
8.302117,-0.388563
8.312125,-0.041544
8.322133,-0.23216
8.332137,-0.437439
8.342144,-0.173509
8.352145,-0.408114
